n,m,l,sparsity,seed,final_loss,compression_ratio,top1_var,top2_var,top4_var,tophalf_var,gini_concentration,effective_dim,effective_dim_ratio,linearity_score,mse_full,mse_linear,nonlinear_gain
64,4,1,0.1,0,0.028800376057624817,16.0,0.31896042823791504,0.59075927734375,0.9999999403953552,0.7968062162399292,-0.10326290130615234,3.92683482170105,0.9817087054252625,0.9924205816350877,0.028224658221006393,0.028240079060196877,0.0005460619886010935
64,4,1,0.1,1,0.02869472436606884,16.0,0.3400883674621582,0.6039297580718994,1.0,0.8359913229942322,-0.14000475406646729,3.8722341060638428,0.9680585265159607,0.9919701339676976,0.029078613966703415,0.029087554663419724,0.0003073717865267813
64,4,1,0.1,2,0.028634588420391082,16.0,0.31793883442878723,0.5738023519515991,1.0,0.8068439960479736,-0.09929251670837402,3.935852289199829,0.9839630722999573,0.9925580159761012,0.028703054413199425,0.02870521880686283,7.540067623111612e-05
64,4,2,0.1,0,0.0284675070643425,16.0,0.31961196660995483,0.5941754579544067,1.0,0.8149164915084839,-0.11435186862945557,3.9163970947265625,0.9790992736816406,0.9896892718970776,0.02804567851126194,0.02810012921690941,0.0019377379317289133
64,4,2,0.1,1,0.028117138296365737,16.0,0.29524242877960205,0.5413418412208557,1.0,0.7768030762672424,-0.05669355392456055,3.97678804397583,0.9941970109939575,0.9909584624692798,0.028556179255247116,0.028605248779058456,0.0017154021989573295
64,4,2,0.1,2,0.028551547452807427,16.0,0.32883399724960327,0.587739109992981,1.0,0.8304694890975952,-0.12352132797241211,3.8966410160064697,0.9741602540016174,0.9917882457375526,0.028223685920238495,0.028269561007618904,0.0016227726755402652
64,4,3,0.1,0,0.028442595303058624,16.0,0.27734920382499695,0.5376738905906677,0.9999999403953552,0.7763151526451111,-0.04566919803619385,3.9866108894348145,0.9966527223587036,0.9858030183240771,0.028255121782422066,0.02829320915043354,0.001346165942057215
64,4,3,0.1,1,0.02896498616784811,16.0,0.37517714500427246,0.6277875900268555,1.0,0.841548502445221,-0.17225658893585205,3.8079967498779297,0.9519991874694824,0.9912501014769077,0.029097113758325577,0.02911403961479664,0.0005813638671021387
64,4,3,0.1,2,0.028468950763344766,16.0,0.276618093252182,0.5255377292633057,1.0,0.7642472982406616,-0.03320145606994629,3.991830587387085,0.9979576468467712,0.9889432052150369,0.02825743518769741,0.028296610340476036,0.001384446351092628
64,4,4,0.1,0,0.029263931438326837,16.0,0.33857178688049316,0.594576358795166,1.0,0.8263807892799377,-0.12976443767547607,3.8897910118103027,0.9724477529525757,0.984716797247529,0.02929590828716755,0.029301492497324944,0.00019057760460932727
64,4,4,0.1,1,0.029526999145746233,16.0,0.4261113405227661,0.7283744812011719,1.0,0.9266847372055054,-0.29058533906936646,3.447204113006592,0.861801028251648,0.9832027107477188,0.029231475666165352,0.02923893928527832,0.0002552629042906936
64,4,4,0.1,2,0.02984557718038559,16.0,0.48095467686653137,0.6973243355751038,1.0,0.8869063854217529,-0.28259265422821045,3.4729907512664795,0.8682476878166199,0.9943026001565158,0.02936437539756298,0.029366333037614822,6.666271143581718e-05
64,8,1,0.1,0,0.026928915902972222,8.0,0.16460967063903809,0.31663545966148376,0.5704689025878906,0.6864957809448242,-0.10047566890716553,7.863670349121094,0.9829587936401367,0.9950709058903158,0.026270871981978416,0.02626102790236473,-0.00037485493339161496
64,8,1,0.1,1,0.026584718376398087,8.0,0.15074455738067627,0.2937253415584564,0.5633454322814941,0.69707190990448,-0.09128594398498535,7.878245830535889,0.9847807288169861,0.9944002842530608,0.026874370872974396,0.02686474099755287,-0.0003584576466910577
64,8,1,0.1,2,0.026666377671062946,8.0,0.16257508099079132,0.3054618239402771,0.5588951706886292,0.6780650019645691,-0.08780348300933838,7.895291328430176,0.986911416053772,0.9951599957421422,0.026613326743245125,0.02661079354584217,-9.519432205758788e-05
64,8,2,0.1,0,0.02651780977845192,8.0,0.18766780197620392,0.3355121910572052,0.5970956683158875,0.7078224420547485,-0.13359898328781128,7.773957252502441,0.9717446565628052,0.9952452168799937,0.025935692712664604,0.0259384922683239,0.00010793050540597118
64,8,2,0.1,1,0.026455983184278012,8.0,0.1819951981306076,0.3481942415237427,0.5892361402511597,0.7025859355926514,-0.1274418830871582,7.782668113708496,0.972833514213562,0.9947970602661371,0.02694101631641388,0.02695065550506115,0.0003576605054691517
64,8,2,0.1,2,0.026911383271217348,8.0,0.16518428921699524,0.32554036378860474,0.5936305522918701,0.7142812013626099,-0.12853825092315674,7.789460182189941,0.9736825227737427,0.9959548134356737,0.026632042601704597,0.02664044126868248,0.000315259936597078
64,8,3,0.1,0,0.027095240764319895,8.0,0.1517621874809265,0.2903153896331787,0.5431612730026245,0.6657395362854004,-0.0603255033493042,7.953258514404297,0.9941573143005371,0.992916080635041,0.026688389480113983,0.02670424059033394,0.0005935800432345038
64,8,3,0.1,1,0.027546421475708485,8.0,0.18935200572013855,0.35706591606140137,0.6425687670707703,0.7462378740310669,-0.1786312460899353,7.6095075607299805,0.9511884450912476,0.9946620985865593,0.027414657175540924,0.027407672256231308,-0.0002548526082692754
64,8,3,0.1,2,0.027743740044534206,8.0,0.1735059916973114,0.3301522731781006,0.6126008033752441,0.7369036078453064,-0.14559602737426758,7.733806133270264,0.966725766658783,0.9945170735009015,0.02734503522515297,0.027341902256011963,-0.00011458485828172423
64,8,4,0.1,0,0.029451617188751698,8.0,0.2918839454650879,0.5054571628570557,0.7854039072990417,0.8728883862495422,-0.393949031829834,6.168320178985596,0.7710400223731995,0.986874527297914,0.029339011758565903,0.029343415051698685,0.00015006063965007646
64,8,4,0.1,1,0.02933264747262001,8.0,0.2673577666282654,0.42436695098876953,0.6719563603401184,0.7916300892829895,-0.25881266593933105,7.1327691078186035,0.8915961384773254,0.993799421004951,0.029334301128983498,0.02934868261218071,0.0004900212553673826
64,8,4,0.1,2,0.029755497239530086,8.0,0.2139073610305786,0.3839688301086426,0.6830712556838989,0.8100385069847107,-0.2626197338104248,6.981688022613525,0.8727110028266907,0.9926150860264897,0.029119761660695076,0.029124828055500984,0.00017395443697415796
64,12,1,0.1,0,0.024873548150062562,5.333333333333333,0.10159704834222794,0.19902443885803223,0.37824058532714844,0.627707839012146,-0.06542932987213135,11.920564651489258,0.9933803876241049,0.99637212860398,0.024279911071062088,0.02426758036017418,-0.0005081143494223887
64,12,1,0.1,1,0.024778723642230036,5.333333333333333,0.12248479574918747,0.22973579168319702,0.41811466217041016,0.6642972230911255,-0.11958032846450806,11.733294486999512,0.9777745405832926,0.9961481771897525,0.02508099377155304,0.025061869993805885,-0.000763062378077013
64,12,1,0.1,2,0.024991240911185743,5.333333333333333,0.0976453423500061,0.19009117782115936,0.37012428045272827,0.6273235082626343,-0.058898210525512695,11.934438705444336,0.994536558787028,0.9961967717390507,0.02488490380346775,0.02486870065331459,-0.000651547656774095
64,12,2,0.1,0,0.02555820770561695,5.333333333333333,0.18116095662117004,0.2841525077819824,0.46394386887550354,0.7033551931381226,-0.18990427255630493,11.219032287597656,0.9349193572998047,0.9967185410205275,0.024751881137490273,0.024743342772126198,-0.00034507713819985293
64,12,2,0.1,1,0.02527085367590189,5.333333333333333,0.11618838459253311,0.2283671349287033,0.43749815225601196,0.6817150115966797,-0.14083731174468994,11.635982513427734,0.9696652094523112,0.9967390741221607,0.02550783008337021,0.02549450285732746,-0.0005227488015687688
64,12,2,0.1,2,0.025853107534348965,5.333333333333333,0.12407996505498886,0.23275552690029144,0.4471648931503296,0.7025452256202698,-0.17076504230499268,11.436100006103516,0.9530083338419596,0.9964416807051748,0.02540178783237934,0.025388114154338837,-0.0005385855984230965
64,12,3,0.1,0,0.027641049958765505,5.333333333333333,0.21001411974430084,0.3153771460056305,0.5054325461387634,0.7544918060302734,-0.2604316473007202,10.634382247924805,0.8861985206604004,0.9953261166810989,0.027110816910862923,0.02710828185081482,-9.35160378991985e-05
64,12,3,0.1,1,0.027457585595548152,5.333333333333333,0.14917491376399994,0.2628869414329529,0.4676772952079773,0.7269209623336792,-0.20122039318084717,11.257612228393555,0.9381343523661295,0.993873184081167,0.027435000985860825,0.027448538690805435,0.0004932029411502322
64,12,3,0.1,2,0.02686618909239769,5.333333333333333,0.19066686928272247,0.3035951554775238,0.49832409620285034,0.7169002294540405,-0.21730118989944458,11.02048110961914,0.9183734258015951,0.9954535500146449,0.026496656239032745,0.026491845026612282,-0.00018161100517991203
