n,m,l,S,nonlinear_gain,linearity_score,mse_full,mse_linear,gain_mean,gain_std,steps_used,steps_mean,converged,n_converged,n_seeds,n_runs
16,2,1,0.85,1.1205881946807494e-06,1.0,0.0332440137863159,0.0332440510392189,2.552878990107794e-07,4.1799730530335694e-07,10001,18571.571428571428,True,1,7,2
16,2,1,0.9,7.665701673431613e-07,1.0,0.02186856046319,0.0218685772269964,1.77693503847617e-07,8.083241649677341e-07,10001,18571.571428571428,True,1,7,2
16,2,1,0.95,0.0,1.0,0.010777784511446953,0.010777784511446953,5.72083515797723e-08,4.279948640719005e-07,20000,18571.571428571428,False,1,7,2
16,2,2,0.85,0.6614716649055481,0.5136801600456238,0.0187059417366981,0.0552566759288311,0.64002387361093,0.22221615669958644,57501,46819.181818181816,True,16,22,3
16,2,2,0.9,0.6349784135818481,0.8377712965011597,0.01172886043787,0.0321319811046123,0.6176816346970472,0.16644832285131064,47501,44205.545454545456,True,17,22,3
16,2,2,0.95,0.5849699378013611,0.9345548748970032,0.0036506608594208956,0.008796149864792824,0.47225534825614,0.16225657048128866,12000,41761.530303030304,True,125,132,9
16,2,3,0.85,0.7683756947517395,0.7113744020462036,0.0153962979093194,0.0664710104465484,0.7824006563141233,0.12086549667811317,25001,46429.57142857143,True,15,21,2
16,2,3,0.9,0.9536804556846619,0.7027014493942261,0.008693345822393894,0.18768258392810822,0.7307551190966651,0.12182987854518068,60001,58215.28571428572,True,16,21,2
16,2,3,0.95,0.8136531114578247,0.8300337195396423,0.00238543888553977,0.012801112607121468,0.5139631507463935,0.2781930707794405,24000,40945.134146341465,True,68,82,6
16,2,4,0.85,0.8824006915092468,0.5947757959365845,0.008877856656908989,0.0754924938082695,0.772087829404099,0.11275639709177263,72000,54069.895348837206,True,167,172,8
16,2,4,0.9,0.8544622659683228,0.5555010437965393,0.00691969646140933,0.04754578694701195,0.733189718081401,0.1482100747510433,72000,74375.01923076923,True,44,52,4
16,2,4,0.95,0.8350321650505066,0.814487636089325,0.0021813460625708103,0.013222906738519669,0.4179830351492966,0.29056518557768374,24000,40914.64634146341,True,69,82,6
16,4,1,0.85,4.3347230871404463e-07,1.0,0.02148514986038208,0.021485159173607826,-4.3452231730205834e-07,7.251247621990687e-07,20000,18571.571428571428,False,1,7,2
16,4,1,0.9,3.978063432441559e-06,1.0,0.0128762386739254,0.012876289896667004,1.158706729549002e-06,1.2598352553193165e-06,20000,18571.571428571428,False,1,7,2
16,4,1,0.95,2.0010105572509929e-07,1.0,0.00465425057336688,0.004654251504689455,3.7144219179806116e-07,1.7334610175716057e-06,20000,18571.571428571428,False,1,7,2
16,4,2,0.85,0.967964231967926,0.7958888411521912,0.009527160786092281,0.2973909378051758,0.950566945537444,0.05347641223775765,12000,22016.8064516129,True,25,31,3
16,4,2,0.9,0.9964619874954224,0.8334429860115051,0.004838606342673302,1.3675925731658936,0.9487248362961763,0.0731186909802126,24000,33587.086956521736,True,157,161,9
16,4,2,0.95,0.9311118721961975,0.906446099281311,0.0015114147681742907,0.02194027043879032,0.7028632843084918,0.22070359688027544,12000,41603.21374045801,True,127,131,8
16,4,3,0.85,0.9724243879318237,0.7860610485076904,0.007307329215109348,0.26499202847480774,0.9200006213880354,0.09883055653219702,24000,26532.612903225807,True,56,62,5
16,4,3,0.9,0.9836592674255371,0.800217866897583,0.0033987686038017273,0.20799481868743896,0.8791064471006393,0.16178593218381257,24000,33262.46341463415,True,76,82,6
16,4,3,0.95,0.9742093682289124,0.9235773086547852,0.0008060153922997415,0.031252630054950714,0.5057590065213541,0.34761608636099334,12000,47708.34722222222,True,59,72,6
16,4,4,0.85,0.9493880271911621,0.797978937625885,0.004540116526186466,0.08970453590154648,0.8738309841963553,0.13413375404657624,72000,60806.8064516129,True,56,62,5
16,4,4,0.9,0.9778971672058105,0.8209457993507385,0.002946327207610011,0.1333017498254776,0.6722591102409822,0.29653297738812956,12000,49567.730769230766,True,46,52,5
16,4,4,0.95,0.9891101121902466,0.9294776320457458,0.0006480223382823169,0.059507645666599274,0.32053543848451227,0.3653561231773976,12000,50576.942307692305,True,40,52,5
16,8,1,0.85,-1.0215010206593433e-06,1.0,0.00319101195782423,0.003191008698195219,-9.80143645230263e-07,1.9070730765709304e-06,20000,18571.571428571428,False,1,7,2
16,8,1,0.9,1.7923493089710973e-07,1.0,0.0012990146642550826,0.0012990148970857263,-1.9431532121773543e-06,2.342609623788903e-06,20000,18571.571428571428,False,1,7,2
16,8,1,0.95,-1.8055142447792605e-07,1.0,0.00024178125022444874,0.00024178120656870306,-1.599163545457876e-06,2.5720074022742147e-06,20000,18571.571428571428,False,1,7,2
16,8,2,0.85,0.7999458909034729,0.9448908567428588,0.0029431853909045,0.0147119844332337,0.6929887582858404,0.04734759799847596,77501,72292.58333333333,True,9,12,3
16,8,2,0.9,0.37574300169944763,0.9558602571487427,0.0010972453746944666,0.00175768812187016,0.3441618252568982,0.1850090422301785,40000,43928.57142857143,True,103,112,8
16,8,2,0.95,0.8555008260547993,0.984114363558207,0.0001429385010851547,0.0009892586385831237,0.1484588023354129,0.15723393339774624,12000,42827.58620689655,True,108,116,9
16,8,3,0.85,0.8084273934364319,0.9639208316802979,0.0021490606013685465,0.011218038387596607,0.6919582051535448,0.22024792504048998,80000,76666.66666666667,True,6,12,3
16,8,3,0.9,0.8912102861636004,0.8796775185923464,0.0005357975023798645,0.004925156943500042,0.5164900033948173,0.23953427805591013,12000,49111.11111111111,True,27,36,5
16,8,3,0.95,0.9580782669802947,0.9628377034313634,6.0016966017428786e-05,0.0014318717876449227,0.18140799732435448,0.2940631851456722,12000,48278.083333333336,True,32,36,5
16,8,4,0.85,0.8810029029846191,0.9518738389015198,0.001611733459867537,0.01354439090937376,0.48614506392429274,0.2990232474605051,80000,76458.41666666667,True,7,12,3
16,8,4,0.9,0.9535805484825933,0.9203820004506781,0.00021316326456144452,0.004592316225171089,0.3002387741624528,0.3034219806603812,12000,49041.694444444445,True,29,36,5
16,8,4,0.95,0.9934913516044617,0.961162269115448,7.913763511169236e-06,0.0012174223084002733,0.30809214836844234,0.4290054895390926,24000,33000.020833333336,True,90,96,6
32,2,1,0.85,9.61148387546018e-08,1.0,0.03875872865319252,0.03875873237848282,-2.7035790748998678e-08,8.399836814997015e-08,20000,18571.571428571428,False,1,7,2
32,2,1,0.9,7.081678887743692e-08,1.0,0.02630229853093624,0.02630230039358139,2.014695204317312e-08,6.210607868057531e-08,20000,18571.571428571428,False,1,7,2
32,2,1,0.95,7.189521511463681e-08,1.0,0.01295387651771307,0.012953877449035645,3.0399541677590084e-08,5.14826618710783e-08,20000,18571.571428571428,False,1,7,2
32,2,2,0.85,0.4148870408535003,0.6619575619697571,0.0297999922186136,0.0509303323924541,0.2932469357906933,0.11421323785929201,67501,50059.09859154929,False,136,142,9
32,2,2,0.9,0.4855431914329529,0.6025851964950562,0.019630763679742813,0.038158245384693146,0.28433082930066367,0.10506079451231237,40001,39091.90909090909,True,16,22,3
32,2,2,0.95,0.49793142080307007,0.9893975257873535,0.006883809808641672,0.01371090579777956,0.39429945951310275,0.09320583004367496,56568,55605.42990654206,True,100,107,7
32,2,3,0.85,0.6324475407600403,0.646831750869751,0.021852372214198112,0.059453777968883514,0.5623052889182244,0.12797686414853052,33941,48170.50617283951,True,75,81,5
32,2,3,0.9,0.6698313355445862,0.4925838112831116,0.01501275785267353,0.0454699881374836,0.6779895197777521,0.12325299486262904,95001,91786.71428571429,False,14,21,2
32,2,3,0.95,0.7634268999099731,0.6972556114196777,0.0050924113020300865,0.02152576856315136,0.4402140535870179,0.24681804586052142,16970,75852.54166666667,True,41,48,5
32,2,4,0.85,0.7268131375312805,0.5196670889854431,0.017765982076525688,0.06503237038850784,0.630840564396844,0.08684254636142666,101823,69050.30348258707,True,196,201,9
32,2,4,0.9,0.7892311811447144,0.6666059494018555,0.010016144253313541,0.047521982342004776,0.6991681364196086,0.07788041060050398,101823,75310.23976608187,True,165,171,7
32,2,4,0.95,0.740220308303833,0.6822598576545715,0.004780933726578951,0.018403824418783188,0.3707465980092552,0.25775859663537537,16970,86137.79487179487,True,63,78,6
