n,m,l,S,mse_full,nonlinear_mse_decrease,pct_nonlinear_mse_decrease
16,2,1,0.85,0.03355062561035156,0.0,0.0
16,2,1,0.9,0.0228491943359375,0.0,0.0
16,2,1,0.95,0.011555172119140625,0.0,0.0
16,2,2,0.85,0.01970351043701172,0.013847115173339843,0.41272300952467234
16,2,2,0.9,0.012067368774414063,0.010781825561523437,0.4718689597105683
16,2,2,0.95,0.004127110595703125,0.0074280615234375005,0.6428343469789818
16,2,3,0.85,0.016269815979003906,0.017280809631347656,0.5150666885333999
16,2,3,0.9,0.009201272125244141,0.013647922210693358,0.5973043079784978
16,2,3,0.95,0.0027099520111083983,0.008845220108032226,0.7654771401786837
16,2,4,0.85,0.009163938446044921,0.024386687164306642,0.7268623675614109
16,2,4,0.9,0.0075286679077148436,0.015320526428222656,0.670506198291917
16,2,4,0.95,0.0024732808685302733,0.009081891250610352,0.785958976376181
16,4,1,0.85,0.02209782287597656,0.0,0.0
16,4,1,0.9,0.013488687133789062,0.0,0.0
16,4,1,0.95,0.0051765538787841795,0.0,0.0
16,4,2,0.85,0.010154273834228516,0.011943549041748045,0.5404853278434212
16,4,2,0.9,0.005394266204833984,0.008094420928955078,0.6000896046197567
16,4,2,0.95,0.001832391242980957,0.0033441626358032225,0.6460210236599851
16,4,3,0.85,0.007725697174072265,0.014372125701904296,0.6503865010850828
16,4,3,0.9,0.0038016077423095704,0.009687079391479492,0.7181632500922517
16,4,3,0.95,0.0009928333854675292,0.00418372049331665,0.8082057274557496
16,4,4,0.85,0.005145166778564453,0.01695265609741211,0.7671640863698853
16,4,4,0.9,0.003272585983276367,0.010216101150512694,0.7573829127462995
16,4,4,0.95,0.0008020327377319336,0.0043745211410522455,0.84506435043224
16,8,1,0.85,0.0036839404296875,0.0,0.0
16,8,1,0.9,0.0016564538955688476,0.0,0.0
16,8,1,0.95,0.0004093527030944824,0.0,0.0
16,8,2,0.85,0.0031315109252929687,0.0005524295043945315,0.1499561447689839
16,8,2,0.9,0.0014309241485595703,0.00022552974700927727,0.1361521426057122
16,8,2,0.95,0.00013575004816055299,0.0002736026549339294,0.6683787669304321
16,8,3,0.85,0.002136612739562988,0.001547327690124512,0.4200197369249448
16,8,3,0.9,0.0006094572448730469,0.0010469966506958008,0.6320711089494275
16,8,3,0.95,6.424539923667908e-05,0.0003451073038578033,0.8430561255586709
16,8,4,0.85,0.0018955654144287108,0.0017883750152587893,0.48545166497453185
16,8,4,0.9,0.0002275426483154297,0.001428911247253418,0.8626326703543484
16,8,4,0.95,2.87267404794693e-05,0.0003806259626150131,0.9298239873285046
32,2,1,0.85,0.038959171752929685,0.0,0.0
32,2,1,0.9,0.0268320166015625,0.0,0.0
32,2,1,0.95,0.013812693176269531,0.0,0.0
32,2,2,0.85,0.03108913879394531,0.007870032958984374,0.20200719381033957
32,2,2,0.9,0.020019475708007814,0.0068125408935546874,0.25389597042653794
32,2,2,0.95,0.00730662338256836,0.006506069793701171,0.47102108985369506
32,2,3,0.85,0.02243129150390625,0.016527880249023436,0.4242359245684056
32,2,3,0.9,0.015795324096679688,0.011036692504882813,0.4113254947911786
32,2,3,0.95,0.005583267822265625,0.008229425354003906,0.5957871682940308
32,2,4,0.85,0.017932994689941407,0.021026177062988278,0.5396977429687564
32,2,4,0.9,0.010547374572753907,0.016284642028808596,0.6069108509667624
32,2,4,0.95,0.005266221923828125,0.008546471252441406,0.6187403964872257
32,4,1,0.85,0.033226566772460935,0.0,0.0
32,4,1,0.9,0.022150985107421875,0.0,0.0
32,4,1,0.95,0.010615953979492188,0.0,0.0
32,4,2,0.85,0.01981545135498047,0.013411115417480465,0.40362627620606156
32,4,2,0.9,0.011099915771484375,0.0110510693359375,0.49889742069461035
32,4,2,0.95,0.005100118408203125,0.005515835571289063,0.5195798306911003
